timestamp,ganador_tasks,ganador_time,ganador_risk,tasks_MAE,tasks_RMSE,tasks_MAPE,tasks_R2,time_MAE,time_RMSE,time_MAPE,time_R2,risk_Accuracy,risk_F1,risk_Precision,risk_Recall
2026-05-02 14:13:25,LinearRegression,LinearRegression,LightGBM,5.434,6.78,58.21,-0.539,1.856,2.127,18.78,0.945,1.0,1.0,1.0,1.0
2026-05-02 16:42:36,LinearRegression,LinearRegression,LightGBM,5.434,6.78,58.21,-0.539,1.856,2.127,18.78,0.945,1.0,1.0,1.0,1.0
